_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_song,rtable_artists,rtable_year
503006,952798,16101,so into you,atlanta rhythm section,1976,so into you,buddy buie+dean daughtry+robert nix+the atlanta rhythm section,1998.0
505099,947052,301954,relax,frankie goes to hollywood,1983,relax,holly johnson+peter gill+mark otoole+frankie goes to hollywood,1964.0
505375,370750,592303,la chanson du maçon,maurice chevalier,0,la chanson du maçon,henri betti+maurice chevalier,1954.0
505441,944704,65145,canção simples,tiago bettencourt,2007,canção simples,tiago bettencourt,2007.0
507261,926383,488779,man i wanna be,head east,2000,man i wanna be,head east,1979.0
507950,539037,329882,islands in the stream,kenny rogers & dolly parton,1990,islands in the stream,barry gibb+robin gibb+maurice gibb+kenny rogers+dolly parton,2006.0
508476,795646,365312,tush,zz top,1975,tush,zz top+kix brooks+ronnie dunn,2009.0
508719,938971,114136,what have you done,naomi shelton & the gospel queens,0,gotta have you,the weepies,2005.0
509114,629847,692133,if i only had a brain,mc 900 ft jesus,1994,if i only had a brain,mc 900 ft. jesus,2003.0
509293,919277,320117,the story,tim,0,whats the story  wishbone?,tim cissell,1995.0
510334,955283,611751,children of the universe,ras michael and the sons of negus,0,the leader of the band,michael carr+jimmy kennedy,1935.0
511395,678106,118741,big big world,emilia,0,big big world,emilia mitiku+lasse andersson+titta hakala,2003.0
511617,795849,549886,,milton,0,over and over,milton raison+everett carter+bob crosby,1944.0
512989,795849,668566,,milton,0,victory song,milton drake+lanny ross,1938.0
513130,795849,437387,,milton,0,perfidia,milton leeds+alberto domínguez+desi arnaz,1941.0
513928,795849,300675,,milton,0,gonna get along without you now,milton kellem+viola wills,1964.0
514422,795849,374464,,milton,0,nothin worries me,milton rosen+oliver drake+jimmy wakely,1942.0
514671,795849,406617,,milton,0,cowboy is happy,milton rosen,1954.0
515318,538529,389719,,frankie laine,0,when im alone,frankie beverly+maze,2002.0
515561,538529,256153,,frankie laine,0,september in the rain,harry warren+frankie laine,1961.0
515954,538529,346532,,frankie laine,0,why do fools fall in love,frankie lymon+morris levy,1973.0
517697,538529,680388,,frankie laine,0,tears,frankie knuckles,1989.0
